    halos_ID     halos_RA    halos_DEC      halos_z      halos_X      halos_Y      halos_Z  halos_M200b   halos_Mvir   halos_Rvir 
   119503861     0.122052   -0.0635054     0.712458     -397.596       1722.3      288.858   2.4363e+13     2.42e+13     0.692947
   109597834      5.34975     -0.73516     0.679076     -1218.35      248.422      1191.48   1.1694e+13   1.1369e+13      0.53687
   139815122      1.59403    -0.363384     0.732458      1626.33      477.217      694.572   1.1045e+13   1.1045e+13     0.534539
     5732988     0.703074     -1.32702     0.209718      53.1882      76.8719      592.029   1.1791e+14    1.076e+14      1.04901
   130637743      1.12461    -0.523575     0.821624      1224.68      1132.58       1116.5   1.1857e+13   1.1694e+13     0.549107
   139971666      1.46847    -0.643041     0.755748      1359.52      537.472      1179.57   1.1369e+13   1.1207e+13     0.538311
   139604698       1.5987    0.0015584     0.600376      1475.88      485.587      39.3511   1.0557e+13   1.0395e+13     0.516496
   123619251     0.849556    -0.733415     0.536898      510.337      821.024      1030.63   1.7541e+13   1.6567e+13     0.598441
   118875381     0.327622    -0.413927     0.606144     -24.3884      1364.14      770.287   7.6337e+13    7.114e+13     0.981291
   118119305      6.24431    -0.564654     0.612222     -497.995      1145.96       967.02   1.2831e+13   1.2669e+13     0.552481
   128809718      1.34635    -0.479738     0.424714      861.194      496.419      579.483   1.4455e+13   1.3318e+13       0.5471
   117315469      6.17727    -0.825972     0.459727     -361.641      657.943      979.743   1.3968e+13   1.3968e+13     0.559027
   129828249      1.32347    -0.656032     0.680802      1138.15      657.009      1118.51   1.5917e+13   1.5267e+13     0.592412
   123788529     0.409222     -1.05764      0.69436      60.9485      702.562      1605.82   1.8029e+13   1.7704e+13     0.623249
   123948477     0.380718     -1.09649     0.883075      41.8167      775.755      1975.82   1.0395e+13   9.7452e+12     0.519187
   110613204      5.51548    -0.953766     0.870088     -1082.16      361.225      1761.81   1.2506e+13   1.1532e+13     0.548624
   104967956       5.4267    -0.490062     0.774976     -1573.77      513.961      965.559   4.3041e+13   4.1742e+13     0.835877
   129927015      0.98229    -0.861994     0.700244       688.69      786.927      1423.08   4.2067e+13   3.9955e+13     0.818005
   105567737      5.47804    -0.228072     0.712254     -1591.49      664.911      481.055   4.6939e+13   4.5965e+13     0.858139
   117420820      5.98865    -0.858649     0.630713     -627.433      721.356      1307.63   2.3551e+13   2.2901e+13     0.674458
   109644569      5.35248     -1.00721     0.639714     -831.754      113.312      1407.84   3.1347e+13   2.9073e+13     0.731039
   119095156      6.23217    -0.636322     0.848744     -635.604      1396.67       1372.7   1.4943e+13   1.4943e+13     0.597142
   122849812      1.00666    -0.938559     0.593342      563.328       591.18      1304.28   1.5917e+13   1.4943e+13     0.582416
   134061313      1.80471    -0.605757     0.759035      1544.75      67.0854      1078.17   1.4618e+13   1.4618e+13     0.588338
   109697326      5.33831    -0.889146     0.745454      -1118.5      176.527       1472.9   1.2506e+13   1.1045e+13     0.535191
   119443135     0.342125     0.023791     0.657913     -7.81763      1672.84      127.721   1.0833e+14    1.046e+14      1.12242
   113417020      6.11354    -0.169981     0.883488      -1031.7      1774.92      543.957   3.8493e+13   3.7519e+13     0.813749
   129886655      1.18269    -0.788298     0.667843      894.222      679.097      1274.57   1.2506e+13   1.1694e+13     0.541294
   124519145     0.671832    -0.710353     0.710426      438.201      1161.21      1285.51   4.0442e+13   3.9468e+13     0.815492
     8050316     0.547653     -0.58666     0.275376      130.767      586.164      489.114   2.1767e+13   1.9892e+13       0.6073
   134162906      1.81123    -0.733584     0.886931      1579.98      25.3325      1428.55   1.2831e+13   1.2831e+13     0.569209
   117946849     0.250418    -0.329345     0.409839     -99.6748      1008.48      463.902   1.2019e+13   1.2019e+13     0.527356
   130524989        1.018    -0.414515     0.624736      917.957      1081.81      754.679   1.5105e+13   1.4618e+13     0.580317
   128239413      1.66469    -0.936547     0.645479      953.665      111.195      1343.59   1.2669e+13   1.2669e+13     0.554583
   128688618      1.41421    -0.152851     0.507335       1165.9      618.254      262.441   1.9328e+13   1.8191e+13     0.614855
   115450075      5.39314    -0.988676     0.396349     -557.535      103.578      920.965   7.0328e+13   6.3019e+13     0.913991
   104031500      5.16642    -0.240622     0.638933     -1579.27       129.87      412.608   2.0302e+13   1.8841e+13     0.632564
     8900667     0.883881    -0.168288      0.20377       294.68      481.892      145.128   1.6175e+13   1.5672e+13     0.551068
   131267483      1.03767    -0.186479     0.838249      1278.69       1499.2      524.315   1.5755e+13   1.5592e+13     0.605176
   118705842      0.34282    -0.126539     0.529803     -4.51978      1361.26      313.747   7.2114e+13    7.049e+13     0.968793
   119149910     0.128785    -0.668363     0.894382      -357.53      1501.88       1487.6   1.2019e+13   1.1857e+13     0.554716
   117263015      6.05665    -0.619541     0.566083     -648.846      920.341      958.243   1.0557e+13   1.0395e+13     0.514301
   123548152     0.889584    -0.708549     0.481233       507.95      747.981      912.998   8.9331e+13   8.5108e+13      1.02442
   112745235      6.07649    -0.375961     0.698073     -858.082      1322.04      786.655   1.1369e+13   1.0557e+13     0.524792
   105621071      5.58996    -0.297019     0.662752     -1389.54      763.152      579.557   3.6869e+13   3.5407e+13     0.782658
   130524211      1.12341    -0.430188     0.638162      1045.31      987.471      779.772   7.1952e+13   6.8703e+13     0.973556
   117366640     0.210961    -0.806442      0.60786     -141.764      958.325      1236.13   2.4688e+13   2.4363e+13     0.686687
   128175263       1.6092    -0.775731     0.706075      1215.27      259.511       1271.6   1.8191e+13   1.7704e+13     0.623983
   109479912      5.24862    -0.637123     0.585843     -1197.53      138.475      929.686    1.072e+13   1.0232e+13     0.512882
     2450673      5.66563    -0.240422     0.304541     -677.667      447.967      251.628   2.8867e+13    2.746e+13      0.68059
   130422286      1.06142    -0.196195       0.6548      1075.81      1199.74      442.706   1.2506e+13   1.2181e+13      0.54794
   110661470      5.86985     -1.05273     0.867254     -705.768      565.864      1888.13   2.2739e+13   2.2739e+13     0.687816
   122008800     0.959856     -1.29472     0.586948       246.03      191.912      1492.52   1.1045e+13   9.4203e+12     0.499006
   127763376      1.81486    -0.111508     0.419434       1125.4      103.133      132.318   3.9955e+13   3.8818e+13     0.780801
   109228917      5.20079     -0.24738     0.436514     -1130.29      131.322      308.623   6.4318e+13   5.8796e+13     0.899256
   100002735      5.11646   -0.0323695       0.8711     -2095.93      112.095      89.4065   7.3251e+13   7.2277e+13       1.0116
   106367311      5.78225    -0.197214     0.773248     -1404.72      1197.28      503.427   1.0557e+13   1.0232e+13     0.523052
